index,clean_text
106,"worst experience from Lenovo previously, I bought k note and got mic problems and now I'm facing battery problem camera problems plz don't buy Lenovo phones "
107,great phone
108,nice 
109,good Mo
110,like it
111,high expectation hurts dual camera is not up to the mark apart from that no issues at all g g logic needs to be made clear 
112,"I bought the Lenovo k on the first sales day, but very much disappointed with the Dolby Atmos feature on the Lenovo kit does not sound good at all when switch on also it sound so weak and not punching at all when I compare it with a Lenovo k, can I get a software updates to make it sound good or is it that I got a defective phone please let me know at the earliest "
113,Its battery is draining very fast 
114,back camera images not so good a yellow shadow occurred
115,"functions of the phone are not good performance is also worst a total waste of money, please don't buy this phone whatever they are shown in their ad is false please go for me or any other brand which gives very good mobile at this range "
116,nice product
117,"the worst phone I bought again from the Lenovo before I though with stock android it will perform better, but the same story battery drain in idle time dual camera is a joke and still no fix update as Lenovo known for it please do not buy it "
118,very good
119,"good mobile heating problem, but its normal"
120,bad quality
121,"Pain is good and nice, but the battery is draining too fast battery is not me too bad"
122,nice
123,some time display is not working properly
124,The Major disadvantage of this model is battery is not detachable except that all features and working so nicely
125,battery backup is very good
126,I have been using Lenovo k note GB GB model xt type m cb since last ten days I am not fully satisfied with this product because I found one problem amazon described in the product description that this handset has both some slots with g enabled but it is found that slot support g whereas slot supports only g not g 
127,It's just an okay phone no such effects of dual cameras 
128,not a dual g support
129,one SIM slot is g that is disadvantage otherwise awesome
130,"features are really good, but some backlogs though it has GB ram sometimes mobiles struck and delay in responding mAh battery runs out quickly like me delay in camera operating response delay in contact searching it's irritating when we search for a contact and getting more time to save a contact very worst mobile in this range friends pls don't buy it go for some better mobile I swear u will regret after you use it "
131,very bad camera 
132,"front camera good, but the sound needs to improve"
133,amazing product in reasonable price range 
134,not expected at all left speaker channel is false only the right speaker working camera is average double tap wakeup is not working properly earphone sound quality is not better using jbl not satisfied 
135,poor camera
136,not a good product 
137,the product is awesome
138,great phone
139,hang hota his phone
140,"great phone with excellent connectivity, quick charging and excellent talk time due to the large battery the twin camera requires steadier hands than mine auto update to android, but the Bluetooth connection on this phone is intermittent and unstable supplementary information the claimed gorilla glass screen is probably ordinary glass as it cracked as the phone slipped from my grasp while sitting on a sofa Lenovo says the screen is not covered reducing rating to two stars "
141,fast delivery delivery is to be provided for all districts good phone feels a bit heavy notification sounds can't be adjusted is a bit annoying photos take a lot more memory but not as much clarity for that memory other features are good 
142,I want to return it
